outlet_id,name,address,X,Y,distance_to_network,network_node
161,BURGER KING,377 HOUGANG STREET 32 #01-01/18 530377,34854.0667209625,38311.4102715347,122.50080618897141,"(34905.0, 38200.0)"
162,BURGER KING,2 JURONG EAST STREET 21 #01-51 IMM BUILDING 609601,18381.9356864095,35229.409786731,99.29584256024583,"(18480.0, 35245.0)"
163,BURGER KING,50 Jurong Gateway Road #B1-02 Jurong East Mall (JEM) 608549,17988.4838308077,35058.3568146359,118.61103754960881,"(18010.0, 35175.0)"
164,BURGER KING,1 NORTH COAST AVENUE #01-04 1 NORTH COAST 737663,23333.3124220399,47576.9898145162,105.94667466703308,"(23405.0, 47655.0)"
165,BURGER KING,5 STADIUM WALK #01-43 LEISURE PARK 397693,32821.0754312901,31638.8459736127,72.33187689075068,"(32885.0, 31605.0)"
166,BURGER KING,11 TANJONG KATONG ROAD #01-42/43/44 KINEX 437157,34814.6755129332,33003.134477891,58.73789117651163,"(34770.0, 32965.0)"
167,BURGER KING,809 French Road #01-31 Kitchener Complex 200809,31192.6278814599,32293.6891097985,63.724530283650054,"(31210.0, 32355.0)"
168,BURGER KING,258 PASIR RIS STREET 21 #01-23 LOYANG POINT 510258,42613.6482054582,38789.9653154314,96.84723246911302,"(42660.0, 38875.0)"
169,BURGER KING,"6 RAFFLES BOULEVARD #02-105, #02-184, #02-185 MARINA SQUARE 039594",30811.1659309082,30472.3321676366,64.5117020882565,"(30855.0, 30425.0)"
170,BURGER KING,4 Woodlands Street 12 #02-01 MARSILING MALL 738623,22053.3037563628,46139.5079379082,92.41397016283047,"(22000.0, 46215.0)"
171,BURGER KING,23 Serangoon Central #B1-30/31 NEX 556083,32289.4083088608,36976.3859132938,134.39425789827513,"(32375.0, 37080.0)"
172,BURGER KING,1 LOWER KENT RIDGE ROAD #03-09/10/11 119082,22520.6189963818,30573.9890070297,75.373645435973,"(22535.0, 30500.0)"
